owl	horned,flesh,raw
pinon nuts	roasted
oopah	whole animal
cloudberries	raw
chilchen	
tea	tundra,herb and laborador combination,herbal,brewed,hohoysi
fish	blackfish,whole,devilfish,meat,herring eggs on giant kelp,pacific,herring eggs,dry,plain,herring,flesh,air dried,packed in oil,lingcod,raw,liver,pike,northern,salmon,tipnuk,fermented,king,chinook,kippered,canned,smoked and canned,smoked,brined,whitefish,broad,mixed species,head,eyes,cheeks and soft bones,halibut,with skin,coho,sockeye,chum,red,bones removed,eggs,dried,,sheefish,cooked
duck	scoter,white winged,meat
mashu roots	raw
cockles	raw
salmon	red,filets with skin,smoked
mush	blue corn with ash
agutuk	fish/berry with seal oil,meat caribou,fish with shortening
seal	bearded,meat,dried,raw,ringed,liver,in oil,low quadrant,partially dried
salmonberries	raw
elk	free range,ground,cooked patties,raw,roast,eye of round,cooked
blueberries	wild,frozen,raw
smelt	dried
ascidians	
rhubarb	wild,leaves
willow	leaves in oil,young leaves,chopped
steelhead trout	dried,flesh,boiled,canned
frybread	made with lard
wocas	dried seeds,oregon,yellow pond lily,nuphar lutea    cy six hundred and seventeenb,tuber,cooked,nuphar lutea,rhizome    cy six hundred and seventeenc
cranberries	wild,bush,raw
piki bread	made from blue cornmeal
melon	banana
prairie turnips	raw,boiled
fireweed	young leaves,raw
walrus	meat,dried,raw,meat and subcutaneous fat raw,liver
moose	meat,raw,liver,braised
oil	beluga,whale,bearded seal,walrus,bowhead,spotted seal
squirrel	ground,meat
blackberries	wild,raw
stew/soup	caribou
deer	sitka,raw
corn	dried,white,steamed,yellow
cornmeal	blue,white,yellow
buffalo	free range,top round steak,raw,cooked
squash	indian,raw,cooked,boiled
bear	black,meat,polar,raw
sea lion	steller,liver,kidney,heart,meat,meat with fat,fat
raspberries	wild
acorn stew	
huckleberries	raw
stew	moose,dumpling with mutton,hominy with mutton,mutton,corn,squash,steamed corn,pinto bean and hominy,badufsuki
sourdock	young leaves
cattail	narrow leaf shoots
whale	beluga,meat,dried,eyes,raw,flipper,liver,bowhead,subcutaneous fat,skin and subcutaneous fat
corned beef and potatoes in tortilla	
mutton	cooked,roasted
bread	kneel down,blue corn,somiviki
lambsquarters	raw,steamed
tortilla	includes plain and from mutton sandwich,blue corn,sakwavikaviki
rose hips	wild
tamales	masa and pork filling
sea cucumber	yane
caribou	bone marrow,raw,eye,liver,tongue,rump meat,half dried,shoulder meat,dried,hind quarter meat,hind quarter,meat,cooked
hazelnuts	beaked
stinging nettles	blanched
mouse nuts	roots,seedlings
chokecherries	raw,pitted
plains pricklypear	raw,broiled
soup	fish,homemade
agave	raw,cooked,dried
cranberry	low bush or lingenberry,raw
tennis bread	plain
chiton	leathery,gumboots
octopus	
plums	wild
