sandwiches and burgers	roast beef sandwich with cheese,steak sandwich
mcdonald's	hamburger,filet o fish,cheeseburger,quarter pounder,quarter pounder with cheese,big mac,french fries,chicken selects premium breast strips,chicken mcnuggets,barbeque sauce,creamy ranch sauce,honey,hot mustard sauce,spicy buffalo sauce,sweet 'n sour sauce,tangy honey mustard sauce,biscuit,regular size,deluxe warm cinnamon roll,hash brown,scrambled eggs,hotcakes,warm cinnamon roll,sausage patty,baked apple pie,mcdonaldland chocolate chip cookies,mcdonaldland cookies,bacon,egg & cheese mcgriddles,sausage mcgriddles,sausage,vanilla triple thick shake,chocolate triple thick shake,strawberry triple thick shake,vanilla reduced fat ice cream cone,strawberry sundae,hot caramel sundae,hot fudge sundae,peanuts,mcflurry with m&m's candies,mcflurry with oreo cookies,sausage burrito,big breakfast,apple dippers,low fat caramel sauce,double cheeseburger,double quarter pounder with cheese,newman's own cobb dressing,newman's own creamy caesar dressing,newman's own low fat balsamic vinaigrette,newman's own ranch dressing,big 'n tasty,big 'n tasty with cheese,mcchicken sandwich,egg mcmuffin,sausage mcmuffin,sausage mcmuffin with egg,bacon egg & cheese biscuit,sausage biscuit,sausage biscuit with egg,deluxe breakfast,with syrup and margarine,hotcakes and sausage,apple dippers with low fat caramel sauce,fruit & walnut salad,caesar salad with grilled chicken,caesar salad with crispy chicken,caesar salad without chicken,bacon ranch salad with grilled chicken,bacon ranch salad without chicken,side salad,fruit 'n yogurt parfait,premium grilled chicken classic sandwich,premium crispy chicken classic sandwich,premium grilled chicken club sandwich,premium crispy chicken club sandwich,premium grilled chicken ranch blt sandwich,premium crispy chicken ranch blt sandwich,english muffin,large size
little caesars fourteen" pepperoni pizza	large deep dish crust
pizza hut twelve" super supreme pizza	hand tossed crust
wendy's	classic single hamburger,no cheese,with cheese,jr. hamburger,without cheese,classic double,homestyle chicken fillet sandwich,ultimate chicken grill sandwich,chicken nuggets,french fries,frosty dairy dessert,double stack,dave's hot 'n juicy one/four lb,single
kashi pizza	roasted vegetable,mushroom trio & spinach,margherita,basil pesto,mediterranean,four cheese
side dishes	potato salad
fast food	pizza chain,fourteen" pizza,cheese topping,regular crust,thick crust,thin crust,pepperoni topping,meat and vegetable topping,sausage topping
yogurt parfait	lowfat,with fruit and granola
little caesars fourteen" original round cheese pizza	regular crust
fast foods	biscuit,with egg,with egg and bacon,with egg and ham,with egg and sausage,biscuit with egg and steak,cheese,and bacon,with ham,with sausage,croissant,with egg and cheese,and ham,and sausage,danish pastry,cinnamon,fruit,egg,scrambled,english muffin,with butter,with cheese and sausage,and canadian bacon,french toast with butter,french toast sticks,pancakes with butter and syrup,potatoes,hashed brown,brownie,vanilla,light,soft serve ice cream,with cone,cookies,animal crackers,chocolate chip,sundae,caramel,hot fudge,strawberry,chicken,breaded and fried,dark meat,light meat,chili con carne,clams,oysters,battered or breaded,and fried,salad,vegetable,tossed,without dressing,with cheese and egg,with chicken,with pasta and seafood,with shrimp,vegetables tossed,with turkey,ham and cheese,scallops,shrimp,burrito,with beans,with beans and cheese,with beans and chili peppers,with beans and beef,and beef,and chili peppers,with beef,with beef and chili peppers,with fruit,chimichanga,with beef and cheese,with beef and red chili peppers,and red chili peppers,enchilada,with cheese,with cheese and beef,enchirito,beef,and beans,frijoles with cheese,nachos,with cheese and jalapeno peppers,beans,ground beef,and peppers,with cinnamon and sugar,taco with beef,cheese and lettuce,hard shell,taco salad,taco salad with chili con carne,tostada,and cheese,cheeseburger; single,regular patty; plain,regular patty,with condiments,with condiments and vegetables,cheeseburger; double,cheeseburger,double,regular patty and bun,plain,regular,patty and bun; with condiments and vegetables,large patty; plain,large patty; with condiments and bacon,large patty; with condiments and vegetables,large patty; with condiments,vegetables and ham,large patty,cheeseburger; triple,chicken fillet sandwich,egg and cheese sandwich,fish sandwich,with tartar sauce,with tartar sauce and cheese,hamburger; single,regular patty; with condiments,regular patty; with condiments and vegetables,hamburger; double,patty; plain,hamburger,large,triple patty,ham and cheese sandwich,ham,and cheese sandwich,hotdog,with chili,with corn flour coating,roast beef sandwich,submarine sandwich,with cold cuts,with roast beef,with tuna salad,coleslaw,corn on the cob with butter,hush puppies,onion rings,potato,baked and topped with cheese sauce,baked and topped with cheese sauce and bacon,baked and topped with cheese sauce and broccoli,baked and topped with cheese sauce and chili,baked and topped with sour cream and chives,french fried in vegetable oil,mashed,single patty,boneless pieces,crispy chicken filet sandwich,with lettuce and mayonnaise,griddle cake sandwich,sausage,miniature cinnamon rolls,vegetables and mayonnaise,regular patty; double decker bun with condiments and special sauce,chicken tenders,bagel,sausage patty,and condiments,with breakfast steak,grilled chicken,bacon and tomato club sandwich,lettuce,and mayonnaise,crispy chicken,bacon,and tomato club sandwich,fried chicken,breast,meat only,skin and breading removed,drumstick,thigh,wing,skin and breading from all pieces,meat and skin and breading,meat and skin with breading,soft,taco with chicken,lettuce and cheese,quesadilla,grilled chicken filet sandwich,with lettuce,tomato and spread
papa john's fourteen" cheese pizza	original crust,thin crust
papa john's fourteen" the works pizza	original crust
mcdonald's bacon ranch salad with crispy chicken	
little caesars fourteen" original round pepperoni pizza	regular crust
little caesars fourteen" cheese pizza	large deep dish crust,thin crust
tostada with guacamole	
pizza hut twelve" pepperoni pizza	hand tossed crust,pan crust
little caesars fourteen" original round meat and vegetable pizza	regular crust
pizza	cheese topping,regular crust,frozen,cooked,rising crust,meat and vegetable topping,thin crust,pepperoni topping
pizza hut fourteen" pepperoni pizza	hand tossed crust,pan crust,thin 'n crispy crust
light ice cream	soft serve,blended with milk chocolate candies,blended with cookie pieces
domino's fourteen" cheese pizza	classic hand tossed crust,ultimate deep dish crust,crunchy thin crust
taco bell	original taco with beef,cheese and lettuce,soft taco with beef,soft taco with chicken,soft taco with steak,bean burrito,burrito supreme with beef,burrito supreme with chicken,burrito supreme with steak,nachos,nachos supreme,taco salad
pizza hut fourteen" sausage pizza	thin 'n crispy crust,hand tossed crust,pan crust
pizza hut fourteen" cheese pizza	hand tossed crust,pan crust,thin 'n crispy crust
pizza hut fourteen" super supreme pizza	hand tossed crust
