vegetable oil	palm kernel
shortening frying	beef tallow and cottonseed,palm,soybean,linoleic
fish oil	cod liver,herring,menhaden,fully hydrogenated,salmon,sardine
shortening industrial	lard and vegetable oil,soybean  and cottonseed
meat drippings	
margarine like shortening	industrial,soy,cottonseed,and soy,principal use flaky pastries
margarine	regular,hard,soybean,eighty percent fat,composite,stick,with salt,tub,without salt,includes regular and hydrogenated corn and soybean oils,margarine type vegetable oil spread,seventy percent fat,soybean and partially hydrogenated soybean,industrial,non dairy,cottonseed,soy oil,for flaky pastries,soy and partially hydrogenated soy oil,use for baking,sauces and candy,margarine like vegetable oil spread,sixty-seven seventy percent fat,canola harvest soft spread,with added vitamin d
shortening bread	soybean  and cottonseed
mayonnaise dressing	no cholesterol
sandwich spread	with chopped pickle,regular,unspecified oils
margarine like spread with yogurt	seventy percent fat,stick,with salt,approximately forty percent fat,tub
margarine like vegetable oil spread	stick/tub/bottle,sixty percent fat,with added vitamin d
shortening	household,soybean  cottonseed,lard and vegetable oil,confectionery,fractionated palm,special purpose for cakes and frostings,soybean,special purpose for baking,soybean  palm and cottonseed,multipurpose,soybean  and palm,vegetable,composite,industrial,soy,pourable liquid fry shortening,soy  and corn for frying,soy  for baking and confections
animal fat	bacon grease
mayonnaise	reduced calorie or diet,cholesterol free,made with tofu,low sodium,low calorie or diet
oil	soybean,salad or cooking,,rice bran,wheat germ,peanut,coconut,olive,palm,sesame,sunflower,linoleic,cocoa butter,cottonseed,safflower,high oleic,poppyseed,tomatoseed,teaseed,grapeseed,corn,industrial and retail,all purpose salad or cooking,walnut,almond,apricot kernel,soybean lecithin,hazelnut,babassu,sheanut,cupu assu,and cottonseed,nutmeg butter,ucuhuba butter,avocado,canola,mustard,oat,industrial,mid oleic,canola with antifoaming agent,principal uses salads,woks and light frying,canola for salads,canola  oil for deep fat frying,principal uses candy coatings,oil sprays,roasting nuts,soy,principal uses popcorn and flavoring vegetables,refined,for woks and light frying,multiuse for non dairy butter flavor,all purpose,soy  and soy,pourable clear fry,soy   and cottonseed,principal use as a tortilla shortening,palm kernel,confection fat,uses similar to high quality cocoa butter,uses similar to ninety-five degree hard butter,intermediate grade product,typical basis for ice cream coatings,used for whipped toppings,non dairy,used for whipped toppings and coffee whiteners,palm and palm kernel,filling fat,principal uses icings and fillings,vegetable,natreon canola,high stability,non trans,pam cooking spray,original,cooking and salad,enova,eighty percent diglycerides,low linolenic,ultra low linolenic,fully hydrogenated,flaxseed,contains added sliced flaxseed,cold pressed,corn and canola,and olive
butter replacement	without fat,powder
lard	
fat	beef tallow,mutton tallow,chicken,duck,turkey,goose
salad dressing	kraft mayo light mayonnaise,kraft mayo fat free mayonnaise dressing,kraft miracle whip free nonfat dressing,russian dressing,sesame seed dressing,regular,thousand island,commercial,mayonnaise type,with salt,french dressing,reduced fat,italian dressing,low calorie,thousand island dressing,mayonnaise,soybean and safflower oil,imitation,soybean,milk cream,soybean without cholesterol,french,home recipe,cooked,vinegar and oil,without salt,soybean oil,cottonseed,oil,fat free,blue or roquefort cheese dressing,ranch dressing,light,honey mustard dressing,reduced calorie,spray style dressing,assorted flavors,smart balance,omega plus light,honey mustard,poppyseed,creamy,caesar,peppercorn dressing,mayonnaise like,coleslaw dressing,caesar dressing,coleslaw,green goddess,sweet and sour,blue or roquefort cheese,buttermilk,lite,mayonnaise and mayonnaise type,bacon and tomato,mayonnaise dressing,diet,no cholesterol
creamy dressing	made with sour cream and/or buttermilk and oil,reduced calorie,fat free,cholesterol free
margarine like spread	smart balance regular buttery spread with flax oil,smart balance light buttery spread,smart beat super light without saturated fat,smart beat smart squeeze,smart balance omega plus spread,benecol light spread
usda commodity food	oil,vegetable,soybean,refined,low saturated fat
butter	light,stick,with salt,without salt
shortening confectionery	coconut  and or palm kernel
vegetable oil butter spread	reduced calorie
shortening household soybean  and palm	
shortening cake mix	soybean  and cottonseed
margarine spread	approximately forty-eight percent fat,tub
dressing	honey mustard,fat free
margarine like	vegetable oil spread,unspecified oils,approximately thirty-seven percent fat,with salt,margarine butter blend,soybean oil and butter,vegetable oil butter spread,tub,sixty percent fat,stick,stick/tub/bottle,without salt,fat free,liquid,twenty percent fat,with added vitamin d,stick or tub,sweetened,butter margarine blend,eighty percent fat,reduced calorie
